County or Counties Served,Organization,Website,Phone Number,Email,More Information
Wake ,UNC REX Healthcare,"<a href=""https://vaccine.unchealthcare.org/"">UNC REX Healthcare<a/>",984-215-5485,,
Wake ,Duke Raleigh Hospital,"<a href=""https://www.dukehealth.org/covid-19-update/covid-19-vaccine-update"">Duke Raleigh Hospital<a/>","919-385-0429, option 2;     8a-8p. ",,
Wake ,WakeMed Health & Hospitals,"<a href=""https://www.wakemed.org/patients-and-visitors/covid-19-information/covid-19-vaccine"">WakeMed Health & Hospitals<a/>",919-350-1066,COVIDvaccine@wakemed.org,
Warren ,Warren County Health Department,"<a href=""http://warrencountyhd.com/"">Warren County Health Department<a/>",252-257-1185,,
Wayne,Wayne County Health Dept ,"<a href=""https://www.waynegov.com/1048/COVID-19-Vaccine"">Wayne County Health Dept <a/>",919-731-1226,,
Wilkes,Wilkes County Health Department,"<a href=""https://wilkescounty.net/199/Health-Department"">Wilkes County Health Department<a/>",336-651-7450,,"<a href=""https://www.facebook.com/WilkesCountyHealth/"">Facebook<a/>"
Wilson,Wilson Medical Center,"<a href=""https://www.wilsonmedical.com/"">Wilson Medical Center<a/>",N/A,,
Wilson,Wilson County Health Department,"<a href=""https://www.wilson-co.com/departments/health-department"">Wilson County Health Department<a/>","252-237-3141, option 3",,"<a href=""https://www.facebook.com/wilsoncountyhealthdepartment/"">Facebook<a/>"
Yadkin,Yadkin County Human Services Agency,"<a href=""https://www.yadkincountync.gov/618/COVID-19-Vaccination"">Yadkin County Human Services Agency<a/>",336-849-7910,,"<a href=""https://www.facebook.com/YadkinCountyHSA/"">Facebook<a/>"
Yancey,Yancey County Health Department,"<a href=""http://www.toeriverhealth.org/"">Toe River Health District<a/>",828-682-6118,yanceyhd@toeriverhealth.org,"<a href=""https://www.facebook.com/pages/category/Medical-Center/Mitchell-County-Health-Department-122415704510362/"">Facebook<a/>"
